id;code;title;imageURL;description
;Номер класса товара;Класс товара;Ссылка на картинку аватарку класса товара;Описание класса товара
1;1234;Стальные конструкции КМ;./webfiles/1234.png;Кабельная эстакада – надземное сооружение для прокладки кабеля. Конструкция позволяет разместить кабельные коммуникации на территории промышленного объекта, оптимально используя надземное пространство, не занимая подземные траншеи и каналы
2;1257;Монтажные системы;./webfiles/1257.png;Кабельные конструкции «СТАНДАРТ-ЭЛЕКТРИК» представляет собой систему быстросборных элементов предназначенную для монтажа опор лотков, кабелей, и других инженерных коммуникаций. НАЗНАЧЕНИЕ: Быстрый, легкий и эффективный монтаж сборных конструкций, несущих балок, стеновых кронштейнов, опорных конструкций на улице и в помещении.
3;1299;Кабельные крепления;./webfiles/1299.png;Кабельные хомуты СЭ Предназначены для фиксации всех видов кабелей среднего и высокого напряжений, а также кабелей с изоляцией из сшитого полиэтилена. беспечивают крепление кабеля в плоскости и в треугольник.
4;1306;Алюминиевая система;./webfiles/1306.png;Алюминиевые кабельные конструкции применяются преимущественно в средне- и сильноагрессивных средах на объектах промышленных нефтегазовых и химических предприятий, транспортной инфраструктуры, морских сооружений, судов и добывающих платформ
5;1345;Фальшпол;./webfiles/1345.png;Промышленный фальшпол «СТАНДАРТ-ЭЛЕКТРИК» – это инновационная система организации пространства под чистовым полом для прокладки кабелей и прочих инженерных коммуникаций. Настил состоит из панелей покрытия размером 600х600 мм из сульфата кальция, уложенных на металлический каркас из стальных профилей.Стойки фальшпола с узлом регулировки высоты пола позволяют нивелировать неровности бетонного основания и вывести отметку пола в проектное положение с помощью простого гаечного ключа
6;1369;Противопожарные материалы;./webfiles/1369.png;Все узлы противопожарных проходок инженерных коммуникаций успешно прошли сертификационные испытания в аккредитованных лабораториях в соответствии с требованиями законодательства Российской Федерации и ЕАЭС, что подтверждается действующими сертификатми пожарной безопасности
7;1383;Кабельные лотки;./webfiles/1383.png;Система листовых кабельных лотков, предлагаемая компанией «СТАНДАРТ-ЭЛЕКТРИК» – это комплексная система, предназначенная для прокладки электрических силовых кабельных трасс, кабелей систем связи, пожарной и охранной сигнализации, КИПиА, как внутри, так и снаружи помещений
8;1400;Кабельные лотки для судов;./webfiles/1400.png;Конструкции крепления кабельных трасс разработаны на основе применяемых в судостроении альбомов и предпочтений судостроительных верфей и КБ. Лестничная конструкция обеспечивает одновременно хорошую вентиляцию и жесткость. Крепление кабеля осуществляется при помощи кабельных скоб на перекладинах. Лестницы и все элементы системы могут быть изготовлены как из стали с горячеоцинкованным покрытием или из алюминиевого сплава, так и из нержавеющих марок стали.
9;1424;Метизы;./webfiles/1424.png;Болты, гайки, шайбы, шпильки, винты и т.п.
10;1463;Крепление трубопроводов;./webfiles/1463.png;Конструкции для крепления инженерных коммуникаций
